Date Local,Average Temperature,Ozone Arithmetic Mean,State Name,City Name,Site Num,Carbon Arithmetic Mean,tmax,tmin,prcp,Year
2001-06-06,74.0,0.02705875,District Of Columbia,Washington,25,1.0550725,81.0,67.0,0.08,2001
2001-06-07,69.5,0.021853,District Of Columbia,Washington,25,0.91770825,76.0,63.0,1.01,2001
2001-06-08,71.0,0.03029425,District Of Columbia,Washington,25,1.046875,81.0,61.0,0.0,2001
2001-06-09,70.5,0.03725,District Of Columbia,Washington,25,1.01666675,81.0,60.0,0.0,2001
2001-06-10,72.5,0.05279425,District Of Columbia,Washington,25,0.760417,83.0,62.0,0.0,2001
2001-06-11,74.5,0.0490735,District Of Columbia,Washington,25,0.6908062500000001,85.0,64.0,0.0,2001
2001-06-12,79.0,0.04626475,District Of Columbia,Washington,25,0.6776515000000001,88.0,70.0,0.0,2001
2001-06-13,81.5,0.05563225,District Of Columbia,Washington,25,0.83125,90.0,73.0,0.03,2001
2001-06-14,81.0,0.03855875,District Of Columbia,Washington,25,0.90932975,88.0,74.0,0.0,2001
2001-06-15,80.5,0.02625025,District Of Columbia,Washington,25,0.7694446666666668,87.0,74.0,0.20000000000000004,2001
2001-06-16,75.5,0.02432375,District Of Columbia,Washington,25,0.7305553333333333,78.0,73.0,1.64,2001
2001-06-17,78.0,0.04894125,District Of Columbia,Washington,25,0.73229175,87.0,69.0,0.0,2001
2001-06-18,76.0,0.052044,District Of Columbia,Washington,25,0.873279,85.0,67.0,0.0,2001
2001-06-19,76.5,0.06319125,District Of Columbia,Washington,25,0.71861425,85.0,68.0,0.0,2001
2001-06-20,79.0,0.06226475,District Of Columbia,Washington,25,0.67604175,88.0,70.0,0.0,2001
2001-06-21,78.0,0.058456,District Of Columbia,Washington,25,0.81145825,86.0,70.0,0.0,2001
2001-06-22,77.0,0.04238425,District Of Columbia,Washington,25,0.6927085,87.0,67.0,0.81,2001
2001-06-23,70.5,0.0253235,District Of Columbia,Washington,25,0.75104175,75.0,66.0,0.01,2001
2001-06-24,72.0,0.028147,District Of Columbia,Washington,25,0.746875,81.0,63.0,0.0,2001
2001-06-25,74.5,0.03416275,District Of Columbia,Washington,25,1.159247,85.0,64.0,0.0,2001
2001-06-26,77.5,0.0635145,District Of Columbia,Washington,25,0.99374975,88.0,67.0,0.0,2001
2001-06-27,80.0,0.05013225,District Of Columbia,Washington,25,0.83926625,90.0,70.0,0.0,2001
2001-06-28,83.0,0.053720500000000004,District Of Columbia,Washington,25,1.03854175,92.0,74.0,0.0,2001
2001-06-29,83.5,0.056956,District Of Columbia,Washington,25,1.296875,92.0,75.0,0.0,2001
2001-06-30,84.0,0.0360735,District Of Columbia,Washington,25,1.075,92.0,76.0,0.15,2001
